Year,Month,Yield,TMN,TMX,PREC
2000,1,19.8,26.1,32,21.9
2000,2,87.3,25.8,29.5,22.7
2000,3,266.5,26.8,29.9,21.8
2000,4,136.7,26.3,30.1,22.9
2000,5,63.1,26,30.7,22.4
2000,6,39.8,24.8,28.4,21.2
2000,7,61.3,26.4,30.2,22.4
2000,8,21.2,25.5,28.7,21.3
2000,9,16.6,25.2,30.9,21.3
2000,10,91.4,25.3,30.3,22.2
2000,11,209.3,25.7,30,21.7
2000,12,255,24.6,28.4,19.7
2001,1,9.3,26.2,29.6,22.8
2001,2,30.8,26,30.3,22.2
2001,3,128.2,25.8,29.9,21.7
2001,4,297.4,26.4,32.7,23.3
2001,5,72.2,25.5,28.5,20.9
2001,6,12,26.1,32,21.5
2001,7,36.4,25.2,31.7,21
2001,8,35.9,25.4,28.7,21.8
2001,9,16.4,25.9,32.5,22
2001,10,58.3,26.1,31.9,21.6
2001,11,105.1,25.3,30.4,21.5
2001,12,227.3,26,29.5,23
2002,1,44,25.9,32.5,22.4
2002,2,12.3,24.9,30.9,21.5
2002,3,226.7,25.6,32.3,21
2002,4,137.3,25.7,32.2,21.1
2002,5,35.2,25.9,32.1,21.1
2002,6,45.6,26.2,29.7,22.8
2002,7,44.7,25.8,28.8,21.8
2002,8,37.1,25.7,29.6,22.5
2002,9,39.5,25.4,30.5,21
2002,10,28.9,25.6,32.5,20.7
2002,11,221.9,24.4,28.5,21.3
2002,12,155.7,25.2,30.2,22.1
2003,1,98.6,25.7,29.3,21.8
2003,2,77.4,26.1,30,21.7
2003,3,226.7,26.4,30.9,22.1
2003,4,267.1,25.5,30.6,22.3
2003,5,69.4,25.3,28.5,21.2
2003,6,26.5,25.5,28.5,21.4
2003,7,94,25.1,30.9,21.4
2003,8,15.8,25.8,29.4,22.1
2003,9,55.3,25.9,32.2,21.8
2003,10,90.2,24.8,28.8,21.6
2003,11,245.2,25.5,29.8,21.8
2003,12,256,25.6,32.2,20.9
2004,1,62.6,25.5,29.1,20.7
2004,2,68,26,29.1,22.8
2004,3,242.4,26.9,32.5,23.5
2004,4,249.3,26.2,30.1,22.5
2004,5,13.9,26.3,31.9,22.2
2004,6,28.2,26,30.4,22.4
2004,7,80.5,25.6,32.2,21.4
2004,8,51.8,25.8,30.8,21.6
2004,9,66.3,25.8,29.9,22.8
2004,10,95.6,25,28.7,20.1
2004,11,185.6,25.2,28.3,20.4
2004,12,270.6,25.6,32.5,20.7
2005,1,21.1,25.4,31.8,21.8
2005,2,71.1,25.2,30.4,20.3
2005,3,128,25.6,31,20.6
2005,4,248.2,26,31.1,21.2
2005,5,81.9,26.4,30.8,22.8
2005,6,91.8,26.3,32.5,21.5
2005,7,71.7,25.9,32.1,21.6
2005,8,37.1,27.5,33.7,22.7
2005,9,49.2,25.1,30.4,22
2005,10,61.1,25.3,30.5,21.7
2005,11,254,25.1,28.6,21.1
2005,12,117.1,25.8,29.7,21.5
2006,1,74,25.9,31,21.6
2006,2,35.7,25.6,32.5,21.6
2006,3,105.1,25.7,30.4,22.5
2006,4,239.2,26.3,33.2,21.7
2006,5,57.2,25.2,28.9,21.7
2006,6,31.6,25.6,31.4,21.3
2006,7,38.8,26.7,31.4,23.2
2006,8,16,26.1,32.1,23.1
2006,9,51.7,25.7,30.6,22.5
2006,10,46.2,25.8,30.7,22.5
2006,11,174.9,26.1,31.7,23.1
2006,12,271.3,24.5,30,20.5
2007,1,7.5,25.3,28.6,21.1
2007,2,59.7,26.1,31.5,21.3
2007,3,288.3,26.8,31.6,22.7
2007,4,281.1,25.3,29.8,20.4
2007,5,85.3,26,29.3,22.3
2007,6,31.8,25.4,28.5,20.8
2007,7,74.8,25.8,31.4,21.1
2007,8,21.9,25.2,31.5,21.7
